Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
73068.52317673244,53351.58000607252,19451.739722697705,16032.861594302845,-14058.420247843296,-595.2269548448271,13544.330125371234,45971.905704963894,-187500.02235174447,-6763.392002986909,20223.120775594805,-5389.631437019281,-5221.345153015274,6039.5307588017895,-187500.02235174447,13821.916439761691
70423.19422044685,49605.025303962866,18914.202620292024,15882.367298885263,-13910.60816176035,-179.7527289095794,12058.140284793411,44024.66643150645,-187500.02235174447,-6855.3247279315865,20134.339646618326,-5817.443825893859,-5297.452842885595,5829.692581855367,-187500.02235174447,14903.18207778717
70790.27691963637,50509.4215881135,19269.61770887586,16012.208582426141,-13982.424316695253,-509.105683458529,12770.199807906129,45463.55998081684,-187500.02235174447,-6748.662203390862,20189.168475767194,-6097.354721707669,-5203.508460939939,5918.719580020855,-187500.02235174447,12450.659269173058
72939.71007343651,52910.91536413615,19212.307836092456,15930.53530818645,-14040.49414879014,-381.09724296298543,13097.272884520637,45008.254946262234,-187500.02235174447,-6815.270401867677,20219.589199970866,-5036.228005436422,-5267.255636126475,6050.594872307167,-187500.02235174447,15366.846664768062
69427.66987415194,48591.887783037164,19000.86033354525,15960.978384134578,-13912.03867340549,-281.922552814788,11994.415461351331,44463.69939609759,-187500.02235174447,-6771.684500179827,20138.452367598104,-6473.08754600138,-5243.406324792662,5769.700499737322,-187500.02235174447,12899.392890857804
73064.63397319723,53342.79577050159,19447.2917255511,16035.588507126393,-14082.336614410475,-605.7546264832768,13570.951053017505,45962.51797229266,-187500.02235174447,-6747.231691745722,20230.452147776145,-5387.016282918011,-5218.215908791532,6041.6988780139545,-187500.02235174447,13771.714421715073
70516.49040180331,49698.25443008595,18928.194812321046,15894.19137170212,-13926.254382879066,-180.06565333195368,12166.926225057392,44066.71006282688,-187500.02235174447,-6803.267515095176,20157.250184685014,-5766.504200280214,-5294.837688784324,5853.519541444724,-187500.02235174447,14947.594994019866
70839.1154812712,50531.90744303554,19286.470924195164,16023.630323842805,-13996.282398257543,-514.0901224720625,12863.764210196045,45475.80873677835,-187500.02235174447,-6692.916952719325,20204.926455608183,-6071.985491750896,-5218.774702402914,5925.201585912894,-187500.02235174447,12524.19650843102
73056.69910391558,53016.25913575401,19239.398150372286,15948.148482817232,-14051.334744850963,-388.8756500334323,13190.390251921446,45072.91854297144,-187500.02235174447,-6760.620386674451,20234.43075828919,-5011.506976068852,-5269.356700105274,6071.829029539708,-187500.02235174447,15468.368288084066
69544.34598020864,48668.174286863126,19013.645531373684,15972.601291251338,-13928.981295702613,-285.4764801831818,12006.306589401554,44487.07932079784,-187500.02235174447,-6750.38328771392,20136.03837919693,-6458.514208616521,-5251.743525474492,5767.822953203077,-187500.02235174447,13070.24962547417
73148.00598001551,53379.139706985916,19483.85917947998,16069.339641253906,-14077.486285863673,-598.0656263906511,13539.613907291165,45997.36434189849,-187500.02235174447,-6729.506758392663,20240.353970569846,-5389.519678297005,-5217.4559494800515,6047.979718205896,-187500.02235174447,13885.03776610348
70641.14608063055,49791.97529458706,18970.685478530584,15931.563488431393,-13906.696606480671,-160.06084204445386,12061.358935994976,44059.311635412174,-187500.02235174447,-6810.710645998794,20166.190882467137,-5745.962947125787,-5273.871752485246,5864.717765416833,-187500.02235174447,15078.911492694795
70876.39819102266,50530.72280057941,19325.87704966987,16076.671013435247,-13965.414639164763,-476.5168400426913,12684.056184775376,45444.11396314073,-187500.02235174447,-6696.940266721281,20217.06345284742,-6067.023404481817,-5173.9594547700235,5944.804065800198,-187500.02235174447,12575.15848578912
73123.17319192567,53071.60205502535,19283.498142182605,16000.004529953543,-14022.053959614512,-374.63758881540167,13014.973761436197,45049.940949671385,-187500.02235174447,-6752.149075525889,20256.91661321123,-4984.08138562219,-5222.954478616057,6108.418835213046,-187500.02235174447,15441.76971218225
69582.03102136028,48691.84478424129,19051.688200436616,16036.12494899332,-13885.708318437139,-230.42413358976052,11811.086453328902,44441.01237547545,-187500.02235174447,-6752.149075525889,20153.56214684989,-6435.849539738839,-5207.487071452984,5798.578953573579,-187500.02235174447,13033.972744223207
73129.27521816197,53359.425468376336,19488.19541790431,16098.933350912734,-14060.700125777737,-577.3902627694921,13307.4910411228,45939.45097201478,-187500.02235174447,-6706.886793003892,20261.543424313477,-5365.737422196558,-5170.092602979255,6094.828974584219,-187500.02235174447,13762.460799510574
70694.99143302339,49869.4687926136,18977.100429189257,15943.991058348545,-13915.994932174079,-148.3708796943283,11858.695669018707,44025.15816988447,-187500.02235174447,-6780.736956684227,20170.70593484711,-5709.484900174725,-5244.747429459981,5890.176402351428,-187500.02235174447,14955.14988364576
70862.60716469373,50521.75975105283,19320.62438972287,16073.161789555765,-13967.359240932376,-458.81425843408806,12457.498902976384,45394.314276494304,-187500.02235174447,-6666.988929151169,20225.33359829588,-6060.273177656314,-5154.155809182622,5961.992557286329,-187500.02235174447,12421.669056614526
73153.25863996251,53132.354096454874,19274.937424056225,15982.234893111576,-14032.49222427514,-371.46364110274806,12853.437704257693,45054.00896716225,-187500.02235174447,-6713.2123366847445,20267.5336918275,-4967.451687747442,-5212.5832691887945,6130.725876179443,-187500.02235174447,15288.526152196664
69587.73071619638,48711.849595528794,19031.996313571493,15995.176553151197,-13894.492554008075,-252.93234025625472,11669.063469059882,44413.94441294008,-187500.02235174447,-6720.610764099451,20158.010143996496,-6420.672705253685,-5208.694065653571,5802.4458053643475,-187500.02235174447,12951.271289738572
73119.75337502401,53348.517817082145,19485.781429503135,16071.865388377357,-14062.152989167333,-591.8518414320757,13225.437787227367,45950.42567854234,-187500.02235174447,-6691.397034096365,20263.219805147626,-5380.154297370231,-5172.8418675472585,6081.77555582232,-187500.02235174447,13656.960565681526
70777.20114913,49950.56092149746,18983.828304270304,15922.24281099353,-13917.425443819218,-160.23965600009635,11883.126125708357,44077.81887982117,-187500.02235174447,-6777.227732804744,20184.340498964848,-5692.072891244041,-5254.358679575763,5892.277466330227,-187500.02235174447,14954.524034801012
70903.86848495824,50529.18053021199,19313.650645452817,16046.093827020388,-13976.635214881328,-475.30984584210466,12518.005075216899,45427.64072747716,-187500.02235174447,-6661.244530826156,20227.27820006349,-6059.468514855924,-5169.936140768068,5967.424031188969,-187500.02235174447,12456.291908775796
73272.28167918703,53221.291687642544,19285.24157825012,15958.653802711226,-14038.929526678268,-392.02724600163054,12960.301394498516,45121.108904017085,-187500.02235174447,-6731.026677015624,20265.00794470405,-4976.951179140947,-5216.9865628464895,6124.065056331761,-187500.02235174447,15330.010989905715
69706.70905193199,48775.261494548504,19037.24897351849,15981.944320433657,-13905.534315768995,-249.0431367210313,11791.059290296947,44459.2961024399,-187500.02235174447,-6737.799255585583,20152.31044916039,-6422.84082446585,-5213.320876755819,5810.872413023998,-187500.02235174447,13064.035840515595
73222.52669602951,53394.160079259884,19494.14098192942,16067.126818552832,-14062.600024056439,-581.6594459604557,13365.851445895607,46006.14857746942,-187500.02235174447,-6684.51269680413,20263.376267358813,-5380.713090981614,-5166.292806421853,6101.646256643088,-187500.02235174447,13746.635764436218
70938.37957839723,50059.12334431688,18981.056687957847,15914.620866134272,-13928.556612557963,-167.7945456259901,12021.259906442156,44111.614717437595,-187500.02235174447,-6759.972186085247,20192.051850801927,-5666.390736864893,-5246.446162038585,5913.60103054059,-187500.02235174447,15094.267141135591
70982.99366033002,50541.65280361805,19312.309540785496,16051.525300923027,-13959.37966816183,-467.03970039364106,12593.68808194257,45437.2743293374,-187500.02235174447,-6664.284368072077,20227.457014019135,-6077.931055776007,-5166.0916407217555,5956.4716764058685,-187500.02235174447,12558.19351174754
73411.44364016577,53322.61214525845,19302.452421480706,15991.935550205179,-14023.126843348366,-381.0525394740748,13065.82398007202,45182.75501522482,-187500.02235174447,-6723.337676922999,20272.138151185292,-4971.69851919395,-5202.301466739353,6133.139864580616,-187500.02235174447,15429.29743877619
69803.89443682367,48822.69189628266,19058.974869129048,16023.473861631617,-13885.216580059121,-234.22393014716272,11859.746201008105,44481.781957361934,-187500.02235174447,-6715.581621597007,20174.997469782527,-6393.113004340292,-5183.973036286001,5820.953049773342,-187500.02235174447,13217.547621434644
73302.09890629041,53424.67021044138,19520.896020042423,16111.830307463446,-14039.667134245294,-574.7304051793105,13398.239123611347,46024.99109804525,-187500.02235174447,-6696.336769620988,20270.148845928772,-5379.282579336475,-5160.034317974368,6096.170079251538,-187500.02235174447,13828.644314842739
71080.96135627764,50169.540961926105,19022.943857067094,15956.955070132622,-13914.810289717949,-169.6720921602359,12058.319098749054,44132.647708970035,-187500.02235174447,-6777.183029315834,20205.038214330463,-5626.850500923455,-5231.694010698082,5920.865347488564,-187500.02235174447,15198.940360419794
71067.08092297088,50580.20956280346,19343.423169067286,16097.547542756503,-13953.791732048003,-451.3040722971049,12603.835773925279,45428.57950074429,-187500.02235174447,-6674.186190865778,20236.643580990265,-6057.456857854946,-5148.679631791071,5965.121801510072,-187500.02235174447,12615.078701386297
73542.22369697377,53434.75084719072,19343.35611383392,16020.0316929855,-14028.893593417835,-389.8814785339211,13079.413840700847,45182.57620126918,-187500.02235174447,-6727.204528713767,20287.560854859454,-4944.071763047191,-5191.907905567635,6150.59657700021,-187500.02235174447,15412.824203112628
69901.86213277128,48885.522649946535,19088.657985765694,16041.690533362691,-13894.22433307461,-235.4979795811152,11825.078645357926,44419.24177637599,-187500.02235174447,-6740.8614445759595,20184.340498964848,-6373.979911086549,-5187.214039232021,5814.605154348034,-187500.02235174447,13201.65553112692
73341.8626596764,53439.37765829297,19542.957191819813,16120.815708734479,-14043.82455871398,-573.4340040009027,13364.040954594728,45971.86100147498,-187500.02235174447,-6685.7420427491725,20297.753250331076,-5368.218465831097,-5145.282166633865,6107.9718003239395,-187500.02235174447,13720.081892023312
71150.0953018779,50228.48251205475,19021.356883210767,15936.458520467106,-13925.226202634121,-193.63316221632508,12037.129645005423,44053.880161509536,-187500.02235174447,-6777.585360716029,20214.247133046047,-5612.7912536610675,-5230.129388586211,5922.5417283227125,-187500.02235174447,15106.538248841554
71032.48042255407,50521.15625395254,19309.33675877294,16049.826568344424,-13988.883970842835,-489.6373140379565,12520.240249662429,45307.5448045188,-187500.02235174447,-6700.293028389577,20219.611551715323,-6093.733739105909,-5172.752460569437,5936.153940695995,-187500.02235174447,12478.733060208924
73541.17316498437,53436.404876280416,19311.795450663027,15973.45065754064,-14051.133579150866,-426.3818772294375,13009.922267189297,45098.75715956178,-187500.02235174447,-6757.580549428529,20265.320869126426,-4978.873429164103,-5215.265478523431,6115.012599827362,-187500.02235174447,15261.301727450102
69866.45696955407,48836.5276261005,19032.599810671785,15968.913253416213,-13924.913278211747,-285.61059064991366,11734.755246014029,44294.47433882646,-187500.02235174447,-6782.212171818277,20149.337667147836,-6416.358818573812,-5206.905926097146,5789.794718002644,-187500.02235174447,13095.194172286294
73256.43429236821,53342.03581119011,19494.58801681853,16069.719620909647,-14069.439657859763,-618.1151411670616,13240.346400779057,45866.58428509048,-187500.02235174447,-6732.926575294326,20244.287877593983,-5438.872330054322,-5186.476431664995,6056.272215398814,-187500.02235174447,13555.126017943147
71141.08754886242,50231.477645811756,19011.90209530617,15926.959029073601,-13926.634362534805,-188.5593162249704,11932.344666998944,43989.484785733795,-187500.02235174447,-6796.070253380568,20192.99062406905,-5627.901032912855,-5241.059391624855,5905.062664158662,-187500.02235174447,15018.181803009726
70934.82565102883,50433.42565696545,19304.307616270497,16063.08115280642,-13965.235825209122,-464.4692497812808,12366.929634443479,45218.003716230836,-187500.02235174447,-6699.264848144633,20210.80496439993,-6120.131149307626,-5168.371518656197,5929.895452248508,-187500.02235174447,12363.621576264093
73501.83409474303,53428.02297210968,19353.861433727914,16020.970466252622,-14005.53602046204,-382.3712923969379,12918.637742833824,45086.73192104482,-187500.02235174447,-6719.761397810149,20290.176008960727,-4962.109620822624,-5192.511402667928,6146.014469386872,-187500.02235174447,15148.179548761791
69810.15292527115,48795.243954091544,19072.76589545797,16028.525355878515,-13871.671422919206,-218.28713635052878,11621.141328947704,44253.816515662256,-187500.02235174447,-6734.178272983822,20184.98869955405,-6390.341388027834,-5182.274303707398,5815.812148548621,-187500.02235174447,13042.399351882857
73140.33933166735,53257.702679360234,19533.301238215117,16130.225793150163,-14018.432977012752,-551.551646179157,13122.776224944142,45861.19751467676,-187500.02235174447,-6666.050155884047,20303.63175912282,-5410.083283195888,-5142.152922410121,6111.972762581439,-187500.02235174447,13449.201100969447
71105.6823856452,50237.22204413677,19039.327685752833,15955.59161372085,-13896.191286586678,-160.84315310038963,11875.437125615732,43989.59654445607,-187500.02235174447,-6755.47948544973,20228.351083797348,-5584.940980069755,-5209.565783687328,5951.107257736595,-187500.02235174447,14968.829151252408
70819.2671321949,50333.08867610558,19302.63123543635,16058.610803915359,-13956.250423938087,-464.98333990375284,12306.579924414149,45192.679189762974,-187500.02235174447,-6673.694452487762,20236.084787378884,-6117.4265882285345,-5146.086829434255,5951.688403092433,-187500.02235174447,12275.846275788103
73378.49716883864,53351.42354386134,19327.39696829283,15993.50017231705,-14034.548584765029,-412.47909217823656,12852.051896101464,45065.43070857891,-187500.02235174447,-6742.873101576937,20275.982651231607,-4993.267952593321,-5213.075007566811,6126.009658099372,-187500.02235174447,15027.256611258581
69667.3923334351,48687.039159183405,19020.90984832166,15964.755828947526,-13914.787937973493,-277.00516903462045,11573.95679640255,44188.90704976405,-187500.02235174447,-6764.934273354325,20165.587385366845,-6420.560946531409,-5205.318952240819,5789.682959280367,-187500.02235174447,12950.064295537984
72939.75477692542,53087.002406955056,19448.766940685146,16044.46214967515,-14085.264692934119,-632.3084988961815,13075.34582320998,45781.82647011596,-187500.02235174447,-6744.013040544158,20241.11392988133,-5493.56704873646,-5195.461832936029,6044.962232704429,-187500.02235174447,13302.953636998373
70972.06365729138,50151.570159384035,18969.523187818908,15882.389650629719,-13958.306784427976,-227.16077889928567,11838.310878075466,43925.111761702516,-187500.02235174447,-6842.2936609141425,20160.69235333113,-5655.706603015256,-5271.167191406154,5873.122021332028,-187500.02235174447,14843.927603236152
70643.78358647627,50186.64004643441,19240.448682361686,16013.035596970987,-13994.76247963458,-494.91232572940896,12249.828845242126,45131.5024651888,-187500.02235174447,-6732.814816572049,20185.078106531873,-6191.120289697682,-5195.953571314046,5896.323132076637,-187500.02235174447,12156.197387718843
73283.90458630379,53295.99121761218,19284.615729405374,15947.34382001684,-14071.45131486074,-460.84826717952103,12879.924521437231,45048.08575488159,-187500.02235174447,-6773.070308336057,20249.33937184088,-5032.182339690011,-5245.37327830473,6097.242962985392,-187500.02235174447,14943.459921295635
69595.06208837773,48634.93724285808,18984.36474613723,15944.616907193293,-13945.320420899443,-288.4716139401929,11566.267796309925,44150.8196772122,-187500.02235174447,-6798.7971662041155,20124.214306380072,-6461.464638884621,-5249.664813240149,5752.333194295549,-187500.02235174447,12932.69699009621
72844.96102869046,53007.564307160894,19463.988478659212,16057.806141114968,-14068.322070636998,-613.6000887870895,13098.077547321029,45797.09271157893,-187500.02235174447,-6731.004325271168,20243.282049093494,-5507.380426809839,-5200.915658583124,6046.4597995829345,-187500.02235174447,13272.108229650048
70954.62929661624,50168.78100261462,19002.603769612764,15909.01057827599,-13921.918144454736,-197.94704889619933,11893.050300246514,43951.26330271522,-187500.02235174447,-6801.904058683403,20188.252054244527,-5625.8223206785115,-5255.923301687634,5907.990742682307,-187500.02235174447,14900.5669236859
70572.61563213059,50125.61978407142,19282.91699682677,16042.830472329912,-13946.48271161112,-466.34679631552655,12326.227107790364,45163.44310801543,-187500.02235174447,-6693.475746330709,20215.789403413466,-6179.609141303199,-5162.0459749753445,5930.186024926427,-187500.02235174447,12198.84451613957
73244.05142593998,53289.375101253405,19326.279381070064,15975.551721519438,-14044.428055814275,-450.49940949671384,12953.551167673013,45094.331514159625,-187500.02235174447,-6763.749630898194,20253.00505793155,-5032.249394923377,-5214.952554101057,6119.30413476278,-187500.02235174447,14983.44719212618
69565.51308220782,48625.23658576448,19038.657133419172,15987.241683869564,-13882.757888169037,-259.99549150413173,11637.167529722159,44185.5319363513,-187500.02235174447,-6764.3978314873975,20165.65444060021,-6430.9321559586715,-5203.1284812842,5787.090156923551,-187500.02235174447,13010.19048812276
72766.55110914125,52939.52559703894,19477.66774626586,16066.590376685905,-14040.896480190335,-620.774998757243,13160.573024818066,45820.69615372374,-187500.02235174447,-6732.434836916308,20258.034200433995,-5513.370694323861,-5164.370556398697,6047.890311228074,-187500.02235174447,13290.906046736962
70959.01023852947,50196.22894480574,19000.65916784515,15896.203028703098,-13925.405016589764,-222.98100268614326,11952.930623642282,43954.61606438352,-187500.02235174447,-6813.951648944813,20194.085859547362,-5606.264544280118,-5233.1245223432215,5907.07432115964,-187500.02235174447,14962.548311060467
70495.12213410404,50053.08837331395,19244.60610683037,16013.080300459898,-13981.977281806146,-503.7636165337106,12289.547895139205,45113.33049694663,-187500.02235174447,-6720.007266999158,20199.80790612792,-6202.899659025629,-5171.254893690932,5897.463071043858,-187500.02235174447,12201.951408618857
73191.83775089237,53264.38585095237,19299.278473768052,15967.460390026617,-14047.669058760293,-465.6091887485014,12930.998257517607,45094.55503160418,-187500.02235174447,-6774.6125787034725,20244.39963631626,-5050.488418398907,-5219.132330314199,6087.832878569709,-187500.02235174447,14950.366610332325
69535.24882021533,48609.724475112496,19018.004121542468,15982.167837878209,-13883.942530625169,-247.25499716460672,11617.877974257228,44170.466860588414,-187500.02235174447,-6766.230674532732,20157.47370212957,-6423.645487266242,-5203.17318477311,5780.027005675674,-187500.02235174447,13043.382828638893
72714.65035851602,52897.07963431831,19478.09242941051,16079.777905914534,-14042.25993660211,-599.9655246693521,13144.211547876783,45832.40846781832,-187500.02235174447,-6712.430025628809,20270.43941860669,-5509.101511132898,-5163.387079642664,6058.507389844345,-187500.02235174447,13313.011922003261
70992.13552381225,50255.14814318993,19023.927333823125,15913.190354489132,-13915.525545540519,-212.90036593679977,11962.340708057965,43995.072721847624,-187500.02235174447,-6788.269494565666,20202.490115462555,-5582.750509113134,-5220.115807070232,5920.842995744109,-187500.02235174447,15039.88534687583
70516.87038145906,50069.919236888796,19271.607014132383,16034.426216414717,-13954.551691359484,-482.9988459347303,12325.86947987908,45157.85517190161,-187500.02235174447,-6700.427138856308,20208.14510680975,-6199.412786890601,-5146.287995134353,5901.665199001455,-187500.02235174447,12289.883171306035
73270.33707741942,53353.61401481796,19347.20061388023,16008.40878586874,-14029.742959707137,-437.3789355014486,13023.378017351391,45198.982381699374,-187500.02235174447,-6742.627232387928,20264.225633648115,-5020.447673850975,-5198.993408559967,6120.309963263269,-187500.02235174447,15058.325536051458
69629.52847832782,48694.07995868683,19053.00695335948,16006.508887590038,-13853.611213399317,-242.1140959398861,11703.641617732243,44217.47257917793,-187500.02235174447,-6755.524188938641,20177.903196561718,-6394.990550874538,-5150.266605647398,5798.713064040311,-187500.02235174447,13190.434955410357
72767.98162078639,52936.552815026385,19509.13900245893,16108.835173706435,-13997.176468035756,-584.8110419286539,13259.837121944085,45897.89907907237,-187500.02235174447,-6700.449490600764,20285.34803215838,-5496.22690632664,-5113.542689507329,6086.245904713382,-187500.02235174447,13382.592902492632
71125.01664459905,50381.30138889568,19043.373351499242,15934.223346021576,-13895.36427204183,-206.6418774893138,12124.703779781315,44040.08913518061,-187500.02235174447,-6796.606695247495,20223.47840350609,-5546.004241228609,-5194.299542224353,5947.709792579388,-187500.02235174447,15135.573164889
70605.09271682415,50120.16595842433,19303.905284870303,16064.444609218195,-13921.940496199191,-454.1650955873842,12484.209237600475,45180.43043380147,-187500.02235174447,-6702.9975894686695,20243.259697349036,-6173.5071150669,-5111.016942383879,5933.091751705618,-187500.02235174447,12346.097808611132
73355.72074123869,53420.40102725042,19356.901270973834,16010.420442869718,-14022.121014847877,-441.33519427003796,13159.187216661838,45209.15242542654,-187500.02235174447,-6755.255968005177,20289.416049649248,-5011.3058103687545,-5164.191742443054,6137.699620449498,-187500.02235174447,15066.014536144083
69711.1570490786,48745.08663953384,19041.38404624272,15982.078430900388,-13892.570303984918,-262.0742037384753,11791.439269952687,44165.102441919145,-187500.02235174447,-6774.679633936838,20179.24430122904,-6392.1295275842585,-5162.157733697622,5797.327255884083,-187500.02235174447,13208.13753701896
72761.924298039,52895.62677092872,19479.47823756674,16084.51647573906,-14040.91883193479,-605.8216817166426,13275.282177362702,45828.69807823874,-187500.02235174447,-6730.579642126518,20265.030296448505,-5533.040229444531,-5147.6067480572165,6053.76882001982,-187500.02235174447,13332.815567590664
71190.21668317517,50443.19336929243,19029.80584261487,15914.307941711897,-13934.32336262743,-224.9926596871209,12122.401550102419,44003.36521904054,-187500.02235174447,-6812.319971599576,20207.116926564806,-5555.771953555579,-5211.309219754841,5926.095655691106,-187500.02235174447,15095.474135336179
70595.12383879708,50097.50128954665,19263.91801403976,16031.922821035723,-13966.085191498423,-477.589723776546,12401.708948815936,45088.385950134514,-187500.02235174447,-6731.09373224899,20210.84966788884,-6210.029865506872,-5141.951756710024,5896.256076843271,-187500.02235174447,12309.709168637894
73331.17852582676,53423.5079197297,19343.467872556197,16006.531239334494,-14035.889689432346,-455.70736595480037,13065.578110883012,45161.856134159105,-187500.02235174447,-6762.9896715867135,20278.977784988616,-5032.51761585684,-5184.554181641839,6121.315791763758,-187500.02235174447,14976.473447856122
69750.7643402534,48795.98156165857,19049.453025991086,15984.44771581265,-13888.79285917197,-266.92453228527694,11715.599801015831,44096.996676563824,-187500.02235174447,-6785.386119530931,20187.201522255127,-6380.305454767401,-5163.476486620484,5784.989092944753,-187500.02235174447,13196.76049909121
72747.39566414306,52883.86975334523,19482.652185279392,16087.355147284885,-14042.997544169135,-604.0335421602181,13200.493240415246,45776.640865402325,-187500.02235174447,-6741.934328309814,20272.62988956331,-5544.081991205453,-5138.956622953013,6046.415096094024,-187500.02235174447,13284.938130967395
71292.94530069176,50569.436021976,19073.59291000282,15946.092122327344,-13912.865687950336,-195.6448192173027,12124.457910592308,43995.765625925735,-187500.02235174447,-6798.283076081643,20238.029389146493,-5519.539775793526,-5192.64551313466,5958.706850851399,-187500.02235174447,15095.787059758552
70681.11099971665,50168.17750551433,19314.611770464395,16073.98880410061,-13919.973542687125,-423.7890748726219,12422.429015926005,45080.11580468605,-187500.02235174447,-6692.156993407845,20267.354877871858,-6168.097992908716,-5105.8089859257925,5941.227786687349,-187500.02235174447,12332.552651471216
73427.96157931825,53517.295839464176,19378.64951832885,16023.31739942043,-14027.708950961704,-436.6189761899682,13128.542975013612,45179.201087856425,-187500.02235174447,-6725.528147879619,20318.942704074707,-5004.935563198992,-5158.0673644623,6162.241835861425,-187500.02235174447,14978.954491490662
69915.56375212238,48937.71397324967,19094.514142812986,16014.242591171575,-13856.807512856427,-225.75261899860132,11821.591773222897,44125.383392022064,-187500.02235174447,-6742.336659710009,20234.363703055824,-6327.354172152779,-5127.9372129365465,5826.563337631624,-187500.02235174447,13273.158761639448
72810.15936257355,52921.39833228569,19501.405298877395,16099.827420690945,-14024.937334649247,-587.8508791745758,13266.252072602758,45775.85855434639,-187500.02235174447,-6691.665255029829,20321.200230264694,-5508.18508961023,-5100.668084701072,6093.174945494527,-187500.02235174447,13320.522108140243
